Patent Number,Title,Unique Identifier,
NL6900515-A; GB1205449-A; FR2028633-A; GB1218883-A; SU346853-A,Mixtures for use in synthesis of crystalline zeolite molecular sieves.,DIIDW:197051575R,
US7982084-B1,"Hydrocarbon conversion process e.g. de-alkylation and dewaxing, involves contacting a hydrocarbon stream with a catalyst comprising specific microporous crystalline zeolite having three-dimensional framework of alumina/silica.",DIIDW:2011J33663,
WO2016116611-A1; AU2016208485-A1; CA2973638-A1; IN201717028988-A; US2018002610-A1; MX2017009128-A1; CN107635952-A; BR112017014356-A2; US10150718-B2; ZA201704393-A; ZA201704394-A; EA35172-B1; AU2016208485-B2; CA2973638-C; BR112017014356-B1; MX382595-B,"Production of hydrocarbons for use as feed or blendstock in refineries involves converting feed stream containing alcohols and/or ethers over metal-containing zeolite-based catalyst, separating effluent, and removing a part of hydrogen.",DIIDW:201646136Q,
KR2018101790-A; KR1927610-B1,"Producing zeolite used to separate cesium, comprises e.g. dissolving e.g. silicon oxide in distilled water, hydrothermally synthesizing obtained synthetic mother liquid by heat treating, cooling, and filtering to recover solid product.",DIIDW:201874003Q,
CN103012042-A,"Use of biomass for the preparation of light olefins, includes drying biomass, crushing into low-temperature carbonization furnace, pyrolyzing, sending pyrolysis gas into high-temperature gasifier, and pulverizing charcoal.",DIIDW:2013N70711,
FR2795406-A1; US6528695-B1,Process for a three stage production of a xylene isomer from an 8C aromatic fraction includes an isomerization stage with a zeolite EUO-based catalyst and a transalkylation stage.,DIIDW:2001171329,
CN105080595-A; CN105080595-B,"Preparation of special catalyst used for synthesizing ethylenediamine piperazine involves preparing ion exchange solution, filtering, drying, adding binder, soaking in sodium hydroxide solution, soaking, filtering, drying, and calcining.",DIIDW:201581053T,
ID201606894-A,"Preparing synthetic zeolite from bauxite wash waste involves washing bauxite crude in a rotary drum scrubber to obtain larger washable bauxite and sized retained certain mesh and passing over certain mesh, and passing over certain mesh.",DIIDW:201783210H,
WO2003089392-A1; US6638892-B1; AU2002323609-A1,"Conversion of syngas to dimethyl ether or light olefins comprises contacting syngas with catalyst comprising zinc oxide, copper oxide, aluminum oxide, Y zeolite and clay.",DIIDW:2003865426,
WO2025125026-A1; FR3156674-A1,Preparing catalyst based on zeolite i.e. Idemitsu zeolite material type 10 of structural type AEI and transition metal involves taking mixture in aqueous medium of zeolite of structural type having silicon dioxide/aluminum oxide.,D,
CN102701898-A; CN102701898-B,"Synthesizing alkyl substituted benzene comprises e.g. selecting a cavity provided with a conductive metal wire of the cylindrical fixed bed catalytic reactor, filling powder catalyst in a metal wire surface, and starting the reactor.",DIIDW:2013A79722,
CN1073661-A; CN1027633-C,"Synthesis of zinc-contg. high-silicon zeolite - using specified zeolite as seed crystal in colloidal system contg. organic amine, water and oxide(s) of sodium, aluminium and silicon.",DIIDW:1994119079,
CN118594599-A,"Preparing hydrogen Zeolite Socony Mobil-5 film-coated bio-carbon catalyst, comprises e.g. soaking and activating biomass by phosphoric acid, dropping silicon source into mixture, mixing molecular sieve precursor with phosphorylated bio-carbon, performing ammonium ion exchange reaction and calcining.",DIIDW:202498578Q,
CN108295672-A; CN108295672-B,"Method for preparing zeolite imidazole metal organic framework-8 film, involves introducing layer of molecular sieve intermediate layer on surface of porous carrier, followed by placing in membrane synthesis solution.",DIIDW:201859150K,
CN113956122-A,"Organic synthesis method based on green chemistry by selecting green synthesis raw material, i.e. dimethyl carbonate, which can replace phosgene and dimethyl sulfate to organic synthesis; selecting green catalyst; using bis (trichloromethyl) carbonate as stable white crystal.",DIIDW:202219048A,
US2025256267-A1; WO2025174997-A1,Synthesizing pillared lamellar mesoporous crystalline microporous material (LMCMM) involves forming mixture of LMCMM including supramolecular template within mesopores of LMCMM.,DIIDW:202579536S,
CN105540607-A; CN105540607-B,"Preparing mesoporous-microporous hierarchical structure of ZSM-23 zeolite comprises e.g. taking the source of aluminum, sodium hydroxide and deionized water, homogenizing and mixing.",DIIDW:201628928X,
CN107954445-A; CN107954445-B,"Uniform nano molecular sieves synthesis involves mixing template agent, aluminum source, and water to prepare precursor mother liquor, and then wetting surface of silicon source by using prepared precursor mother liquor.",DIIDW:201833035J,
AU9920386-A; AU734144-B,Catalyst for use in production of dimethyl ether.,DIIDW:1999347869,
CN114478963-A,"Synthesizing zeolite molecular sieve copolymer water-retaining agent used for desert control, involves quantitatively dropping sodium hydroxide solution into acrylic acid, adding zeolite molecular sieve superfine powder, carrying out polymerization reaction, crushing, sieving, bagging and storing.",DIIDW:202270647V,
WO2016006564-A1; CN106573204-A; EP3167953-A1; IN201637044071-A; JP2016532919-X; US2017189862-A1; EP3167953-A4; JP6373381-B2; ID201801886-A; CN106573204-B; US10639594-B2; IN338116-B; EP3167953-B1,"Manufacture of zeolite membrane used in separation process, involves hydrothermally synthesizing aqueous reaction mixture e.g. containing silicon,, alkali source and organic template to form product having CHA-type crystal structure.",DIIDW:201603927G,
CN102950021-A; CN102950021-B,"Catalyst useful for synthesizing dimethyl ether from biomass synthesis gas via slurry bed reactor, comprises copper-based methanol synthesis catalyst and methanol dehydrating composite silicoaluminophosphate molecular sieve.",DIIDW:2013J47251,
US2024132437-A1; KR2024057149-A; US2024228420-A9; KR2854264-B1,"Tandem catalyst for synthesizing methyl acetate from carbon dioxide, comprises first catalyst includes nano-ferrierite (N-FER) zeolite and second catalyst having core-shell structure includes composite metal oxide core and silica shell surrounding surface of composite metal oxide core.",DIIDW:2024430806,
CN118580265-A,"Synthesizing high-purity trimethylsilane without halogen participation, comprises dropping trimethylsiloxane to middle section of reactor, introducing hydrogen and nitrogen, passing reaction gas containing trimethylsilane, and introducing to activated carbon adsorbent loaded with copper oxide.",DIIDW:2024977690,
RU2407730-C2; RU2009102958-A,Bifunctional cobalt-containing zeolite catalyst used for synthesis of aromatic hydrocarbons.,DIIDW:2011B83089,
WO2017121817-A1; NL2016084-B1; KR2018101523-A; CN108698816-A; EP3402746-A1; JP2019501942-W; US2019016656-A1; EP3402746-B1; US10759728-B2; US2020399195-A1; JP6957475-B2; CN108698816-B; US11897839-B2; KR2751665-B1,"Synthesizing dimethyl ether (DME), comprises subjecting gaseous mixture to DME synthesis by contacting it with catalyst, subjecting gaseous mixture to separation-enhanced reverse water gas shift reaction, and subjecting gaseous mixture.",DIIDW:201749640M,
US2018133701-A1; WO2018093510-A1; CN109890757-A; KR2019085053-A; EP3541749-A1; US10478811-B2; JP2020514209-W; EP3541749-B1; JP6912564-B2; CN109890757-B; KR2413863-B1,"Synthesis of MTW framework type zeolite used as e.g. catalyst, involves preparing reaction mixture comprising FAU framework type zeolite, polyethyleneimine, fluoride ions, and water, and subjecting mixture to crystallization conditions.",DIIDW:201838110S,
EP1088790-A1; JP2001089132-A; KR2001076208-A; JP3322308-B2; US6471940-B1,"Process for preparing zeolite (Al)-SSZ-31 comprises mixing zeolite source, aluminum-containing material, organic substance and water; drying and reacting with steam.",DIIDW:2001345773,
WO2007113962-A1; JP2007270060-A; AU2007232010-A1; CN101410487-A; RU2008143259-A; JP4714066-B2; AU2007232010-B2; RU2443757-C2; CN101410487-B; VN10010910-B; MY146925-A; TH92636-A; TH61895-R0,"Hydrogenation of wax involves hydrocracking wax using catalyst containing specific metal, switching wax to distillate oil obtained by distilling hydrocracked product mixture, switching distillate oil to wax, and hydrocracking wax.",DIIDW:2007797621,
WO2014124665-A1; CA2894953-A1; AU2013378572-A1; US2016003024-A1; MX2015009201-A1; BR112015019356-A2; AU2013378572-B2; EA32555-B1; CA2894953-C; BR112015019356-B1,"Recovering oil from crude hydrocarbon reservoir, by producing synthesis gas from natural gas, producing liquid hydrocarbons from synthesis gas, passing liquid hydrocarbons into reservoir, and extracting crude hydrocarbon from reservoir.",DIIDW:2014P72641,
CN108940368-A; CN108940368-B,"Preparation of catalyst for selective catalytic synthesis of fine chemicals, involves using organic solvent as reducing agent and inhibitor, decomposing metal salt, and adding 2-methylimidazole and zinc nitrate hexahydrate.",DIIDW:2018A07020,
US2013211147-A1,"Catalyst composition used to produce dimethyl ether, comprises methanol synthesis component contains e.g. copper and mixture of dehydration component e.g. silica alumina and kaolin to yield high carbon monoxide conversion at low pressures.",DIIDW:2013M35666,
CN1039001-A,Synthesis of high silicon zeolite - using two organic cpd. systems and controllable silicon-aluminium ratio.,DIIDW:1990320669,
JP2021088473-A; JP7438733-B2,STW type zeolite for catalyst for chiral separation or asymmetric synthesis.,DIIDW:2021631882,
WO9426663-A1; AU9468243-A,"Synthesis of crystalline zeolite beta useful as hydrocarbon conversion catalyst from synthesis mixt. contg. tetra:ethyl ammonium chloride, sodium-stabilised silica, a source of aluminium oxide and water.",DIIDW:1995006614,
CN104192859-A; WO2016041404-A1; US2017233259-A1; JP2017529301-W; CN104192859-B; US10099932-B2,"Rapid synthesis of crystal grain ZSM-5 zeolite involves preparing silica-alumina mixed material, supplying mixed material into low-crystallization-nucleation reactor, nucleating and crystallizing under predetermined conditions.",DIIDW:2015089468,
CN117983229-A,"Preparation of catalyst for synthesizing methanol, involves adding sucrose and zeolite powder to mixed solution of copper salt, zinc salt, magnesium salt and cerium salt, introducing inert gas, dripping sodium carbonate solution, introducing inert gas, filtering, molding, roasting, and reducing.",DIIDW:2024501613,
IN202541032190-A,"Supercapacitor device for lighting up light emitting diodes, has cathode having composite material of nickel-exchanged zeolite and polyvinylidene fluoride, anode having graphene oxide, and polyvinyl alcohol and potassium hydroxide gel separator, where graphite sheets serve as current collectors.",DIIDW:202550263C,
FR3112773-A1; US2022041943-A1; US11365362-B2; FR3112773-B1,"Device used for converting aromatic compounds, consists of fractionation unit adapted to extract at least one cut comprising benzene, one cut comprising toluene and one cut comprising xylenes and ethylbenzene from feed, xylene separation unit isomerization unit and pyrolysis unit.",DIIDW:2022166298,
WO9703019-A1; ZA9605865-A; AU9666569-A; EP783457-A1; BR9606510-A; JP10505817-W; KR97705516-A; MX9701813-A1; AU713199-B; TW359665-A; EP783457-B1; DE69612542-E; CN1158116-A; CN1092142-C,"Zeolite prepn. used as catalyst and for organic sepn.s by preparing synthesis mixt. contg. silicon source and basic organic structure, which is not alkaline enough to cause complete dissolution of silicon.",DIIDW:1997118943,
CN110963499-A; CN110963499-B,"Synthesizing c-axis oriented TS-1 zeolite single crystal by stirring tetrapropylammonium hydroxide, adding inorganic alkali source, adding titanium and silicon source, adding homogeneous solution, crystallizing, filtering, and calcining.",DIIDW:202028962H,
US2010084792-A1; US7829620-B2,"Forming zeolite nanocrystals, comprises combining solution of e.g. deionized water and stirring, adding and dissolving tetramethylammonium bromide and colloidal silica to form completed solution, and sealing, aging, stirring and heating.",DIIDW:2010E04412,
EP2474357-A1; FR2970259-A1; KR2012080550-A; JP2012143751-A; US2012205286-A1; FR2970259-B1; BR102012000290-A2; JP5830383-B2; US9914113-B2; EP2474357-B1; KR1908733-B1; GC8847-A; IN303036-B; BR102012000290-B1,"Preparing catalyst comprising hydro-dehydrogenating element, and support comprises making dealuminated zeolite, depositing nickel on zeolite, mixing with mineral matrix, introducing element on the matrix, and drying and calcining.",DIIDW:2012H84177,
WO9703021-A1; ZA9605864-A; AU9666992-A; EP779878-A1; BR9606508-A; KR97705518-A; MX9701814-A1; JP11503108-W; US6042808-A; AU724793-B; US6258991-B1; EP779878-B1; DE69615326-E; US2001056215-A1; CN1161030-A; MX211440-B,"Mfr. of colloidal suspension of LTL zeolite by low temp. hydrothermal treatment of an LTL zeolite-producing mixt., used as catalyst in hydrocarbon conversions.",DIIDW:1997118945,
CN113277930-A; CN113277930-B,Preparing cresol from lignocellulosic biomass by subjecting lignocellulosic biomass to catalytic cracking in presence of catalyst comprising zeolite molecular sieve loaded with ferroferric oxide and protective atmosphere and subjecting to catalytic hydroxylation reaction with hydrogen peroxide.,DIIDW:2021A2300K,
CN102992343-A; WO2014086300-A1; US2015298983-A1; US10160656-B2,"Solid phase synthesis of zeolite molecular sieve powder involves grinding silicon source, aluminum source and alkali source, putting into reaction kettle, carrying out crystallization, filtering product, and drying.",DIIDW:2013K77638,
CS8709514-A,"High silicon content zeolite prodn. - by hydrothermal synthesis using sources of silicon, sodium and aluminium.",DIIDW:1989264199,
CN114433223-A,"Bifunctional catalyst containing multi-level porous silicoaluminophosphate zeolite molecular sieve useful for reaction of directly preparing low carbon olefin by synthesis gas, comprises component, where component is hierarchically porous molecular sieve.",DIIDW:202266222Y,
KR1637934-B1,"Producing porous aluminosilica used for surface coating of photo paper and inkjet printing film, comprises e.g. dispersing crystalline aluminosilicate into solution state, acid treating, gelling, and performing hydrothermal synthesis.",DIIDW:201644987Y,
JP2005262064-A; JP3840506-B2,"Separation membrane for separating mixture of gas or liquid, has titano silicate type zeolite crystal layer precipitated on porous support.",DIIDW:2005678977,
CN116854107-A; CN116854107-B,"Preparing metal-embedded multi-stage pore silicoaluminophosphate-56 zeolite molecular sieve useful for e.g. directly synthesizing multi-stage pore zeolite catalysts containing embedded metal species, comprises e.g. using pseudo-boehmite as aluminum source and copper oxalate as metal precursor.",DIIDW:2023A7797R,
CN102976352-A; CN102976352-B,"Synthesis of 4A zeolite by mixing kaolin and alkali solution, dissolving in hydrochloric acid, heating, filtering, carrying out hydrothermal synthesis reaction, washing, filtering, and drying.",DIIDW:2013K34873,
WO2025002832-A1; FR3150517-A1; FR3150517-B1,"Method for converting hydrocarbon feedstock comprising aromatic compounds for petrochemicals, involves fractionating hydrocarbon feedstock, producing isomerate enriched in paraxylene, sending paraxylene-enriched isomerate to train, and treating synthesis gas in methanol synthesis reaction section.",DIIDW:2025008392,
JP58192834-A; JP90045605-B,"Mfg. hydrocarbon, esp. high octane petrol, from synthesis gas - by treating with catalyst compsn. contg. crystalline zeolite, manganese oxide and ruthenium.",DIIDW:1983847171,
CN115924935-A,"Synthesis of square zeolite used as e.g. adsorbent, uniformly mixing diatomaceous earth raw material with sodium metaaluminate, sodium hydroxide and water, and placing mixture directly in vacuum oven for hydrothermal synthesis.",DIIDW:202340481R,
CN101288826-A,Filtering and purification for discharging exhaust gas of oil engine comprises purifying car exhaust gas and eliminating noise using wet artificial synthesized zeolite.,DIIDW:2008O02966,
CN103880036-A; CN103880036-B,"Synthesis of mesoporous zeolite by dissolving sodium hydroxide in deionized water, adding aluminum source, magnetically stirring, adding silicon source, adding sugar mixture, magnetically stirring and conducting heating crystallization.",DIIDW:2014Q50897,
WO2024130389-A1,"Catalyst used for conversion of syngas to light paraffin, comprises catalytic components containing carbon, oxides of copper, zinc, aluminum, zeolite chosen from ferrierite and mordenite, preset weight ratio.",DIIDW:2024674166,
CN114472479-A,"Environment-friendly carbon source comprises straw special branch, edible fungi waste bacteria bag, odor removing agent, zeolite, graphite fermentation bacteria liquid, and water.",DIIDW:202276388X,
CN114522708-A; CN114522708-B,"Preparing porous aza-carbon material supported cobalt-based catalyst used in catalyzing carbon dioxide hydrogenation to synthesize higher alcohol, has e.g. preparing zeolite imidazole ester-8 and zeolite imidazole ester framework-67 by coating, loading auxiliary metal and performing calcination.",DIIDW:202276219Q,
CN120004285-A,"Fast synthesizing zeolite socony mobil molecular sieve involves mixing the aluminum source and de-ionized water to obtain clarified aluminum source solution, then adding alkali source, stirring to obtain first clarified solution, adding silicon source and seed crystal to first clarified solution.",DIIDW:202553425D,
CN117682532-A,"Modified Zeolite Socony Mobil-22 molecular sieve used in dewaxing catalyst, obtained by e.g. mixing Zeolite Socony Mobil-22 molecular sieve with dealumination and silicon filling reagent for dealumination and silicon filling, processing to remove template agent, filtering, water washing and drying.",DIIDW:2024288385,
CN109279621-A; CN109279621-B,"Synthesis of silica-based zeolite molecular sieve comprises mixing silicon source, ammonium fluoride, ionic liquid, trace water and seed crystals, grinding, crystallizing, filtering and drying.",DIIDW:201915892V,
CA2599509-A1,"New sulfur resistant catalyst useful for e.g. hydrogenation, dehydrogenation, comprises noble metal nano-particles or metal nano-particles selected from nickel, cobalt or tungsten, contained in zeolite cage having specific final pore size.",DIIDW:2009G25491,
CN111099629-A; CN111099629-B,"IWR/STF co-crystal zeolite molecular sieve for molecular sieve composition used as adsorbent or catalyst, has two phases of 1-99 IWR molecular sieve and STF molecular sieve, and shows specific diffraction peaks in X-ray diffraction pattern.",DIIDW:2020403846,
US2003091504-A1; WO2003042101-A2; WO2003043937-A2; AU2002356941-A1; AU2002343735-A1; WO2003043937-A3; WO2003042101-A3,"Synthesis of molecular sieve materials, e.g., ZSM-12, comprises substituting like organic structure-directing agent in quaternary ammonium halide form for predetermined fraction of quaternary ammonium hydroxide form.",DIIDW:2004096542,
JP2013043815-A; JP5797976-B2,"Synthesis of lithium zeolite uses as e.g. catalyst and ion exchanger, involves processing silica-alumina-type substance obtained by heat-processing catalyst residue of petroleum refining, in lithium hydroxide aqueous solution.",DIIDW:2013D12592,
JP4357109-A,Synthetic zeolite purificn. for crystalline impurity removal - by adding water to hydrothermally synthesised zeolite and heating in pressurised vessel at higher temp. w.r.t. synthesis temp..,DIIDW:1993030882,
WO2023186736-A1; EP4499783-A1; US2025197313-A1,"Production of hydrocarbon stream, involves passing synthesis gas stream, passing olefin product stream through oligomerization step over oligomerization catalyst, and passing portion of oligomerized stream through hydrogenation step over hydrogenation catalyst.",DIIDW:2023A4060P,
CN105061264-A; CN105061264-B,"Co-production of low carbon alcohol, natural gas and urea by preprocessing crude synthetic gas, mixing with coke oven gas, compressing, washing with low-temperature methanol to purify, and separating methane separator to obtain natural gas.",DIIDW:2015802380,
CN118978496-A,"Catalytically synthesizing low-halogen aniline type epoxy resin with high selectivity comprises e.g. respectively flowing epoxy chloropropane and aromatic amine through reactor containing lanthanum- zeolite Socony Mobil-5 catalyst for reaction, stirring and mixing, vacuum extracting and distilling.",DIIDW:2024C4678Y,
US2014336286-A1,"New hybrid Fischer-Tropsch monolith catalyst comprising support, and catalyst layer comprising synthesis gas conversion component and acidic component deposited on support, useful to convert synthesis gas to liquid hydrocarbon products.",DIIDW:2014U37176,
KR2016007228-A; KR1611260-B1,"Synthesis of 4A-barium zeolite used for removing radioactive strontium from contaminated water, involves drying 4A zeolite at preset temperature for preset time, and washing 4A zeolite impregnated with barium solution, with water.",DIIDW:201606689C,
WO9503250-A1; EP739308-A1; JP9500603-W; US5683673-A; TW327165-A; SG50583-A1; EP739308-B1; DE69420586-E,Mfr of beta-zeolite by hydrothermal treatment of a synthesis mixt. in presence of ethene to increase yield.,DIIDW:1995075147,
JP57068144-A,"Catalyst for synthesis of styrene from toluene and methanol - comprises sodium-zeolite partially substd. by caesium, potassium or rubidium ion treated with phosphate or borate.",DIIDW:198245020E,
CN105688881-A; CN105688881-B,"Catalyst used for synthesizing alkylene glycol ether, comprises solid acid material and binder material.",DIIDW:201642665G,
RO99372-A,Zeolite ZSM-5 based hydrocarbon conversion catalyst prodn. - comprises alcohol(s) reaction boosting based on mineral acid reaction with synthesis zeolite sodium-ZSM-5.,DIIDW:1991092528,
WO2012057939-A2; US2012108682-A1; WO2012057939-A3; AU2011320883-A1; US8519011-B2; EP2632878-A2; AU2011320883-B2; EP2632878-A4,Conversion of synthesis gas to hydrocarbon mixture comprises contacting feed comprising mixture of carbon monoxide and hydrogen with at least two layers of synthesis gas conversion catalyst particles including metal component.,DIIDW:2012F09265,
CN102963907-A,"Synthesis of pentasil-type zeolite molecular sieve comprises uniformly stirring aluminum, alkali and silicon source compound, additive, organic template agent and water, performing hydrothermal crystallization, filtering, washing and drying.",DIIDW:2013J65161,
CN101302136-A,"Catalysis of ethyl benzene involves synthesizing with benzene and diethy-aceto oxalate as raw materials, where catalyst is ZSM-5 molecular sieve or B-type molecular sieve.",DIIDW:2009A92532,
CN107617446-A; CN107617446-B,"Catalyst for catalyzing and direct conversion of syngas to gasoline fraction, contains component in which methanol synthesis catalyst component is wrapped by inert porous material, and component comprising metal modified molecular sieve.",DIIDW:2018088798,
CN110963500-A; CN110963500-B,Synthesizing borosilicate and ferrosilicon MTT zeolite in absence of organic structure directing agent comprises taking solid ferrosilicon precursor or solid silicon boron precursor and adding into mortar with alkali source.,DIIDW:202028962G,
EP3495321-A1; WO2019110322-A1; TW201927692-A; CA3084858-A1; CN111433157-A; KR2020096525-A; IN202017028153-A; EP3720814-A1; SG11202005180-A1; VN73247-A; JP2021505518-W; US2021163304-A1; SG11202005180-B; US11192794-B2; IN387467-B; RU2020121774-A; TW798303-B1; JP7354108-B2; CN111433157-B; RU2804511-C2; KR2646969-B1; MY202320-A; VN10041697-B; TH2001003108-A,"Production of powdery porous crystalline metal silicate used for forming titanium-containing zeolites, involves performing hydrothermal synthesis of aqueous mixture comprising silicon source(s), metal source and mineralizer, and calcining.",DIIDW:201950704T,
EP1249486-A1; CZ200201308-A3; US2002183576-A1; HU200201216-A2; US6914165-B2; IT1325354-B; CZ296365-B6; EP1249486-B1; DE60231269-E,"Process for preparing diesel cut fuel involves oligomerizing specific olefins in presence of synthetic zeolite to obtain oligomerized hydrocarbons, separating hydrocarbon stream and hydrogenating separated stream.",DIIDW:2002715112,
DD227687-A,Pure zeolite-X rapid synthesis by hydrothermal crystallisation - from sodium aluminate and heterogeneous mixt. of meta:silicate and zeolite-Y in ZSM mother liquor.,DIIDW:1986021590,
WO2022092323-A1; JP2022074143-A; JP2022074144-A; JP2022074145-A; TW202222692-A; KR2023101813-A; CN116438141-A; US2023265297-A1; EP4239029-A1; EP4239029-A4; CN116438141-B,"Liquid composition used in liquid sealing agent, and for forming resin composite material for forming e.g. sealing material used for electronic device, comprises resin, and inorganic filler comprising zeolite with preset particle diameter, and having preset particle diameter.",DIIDW:202258885L,
CN116462206-A,"Preparing zeolite from fly ash, comprises e.g. pickling fly ash to remove impurities and washing with water, mixing with lye, placing into ball mill jar together with balls, ball milling while heating with external heat source for hydrothermal synthesis reaction to obtain zeolite.",DIIDW:202380449K,
CN104174443-A; CN104174443-B,"Catalyst core-shell structure and its preparation, used for Fischer-Tropsch synthesis for coupling endothermic and exothermic decomposition of methanol comprises catalyst core and shell layer, prepared by soaking, rolling and molding.",DIIDW:201507910P,
RO110620-B,Synthesis of a crystallised spherical zeolite - for personal hygiene prods. and detergent conditioning.,DIIDW:1996516595,
CN119371290-A,"Preparation of deuterated phenol involves adding halogenated phenol compound, sodium sulfite additive and copper-loaded zeolite catalyst, adding deuterium water, stirring and reacting under heating condition, centrifuging, and filtering.",DIIDW:2025136969,
CN112939019-A; CN112939019-B,"Rapid synthesis of MCM-49 zeolite molecular sieve comprises e.g. mixing silica source, alumina source, structure directing agent, alkali metal oxide source and water, and performing aging and crystallization treatments on initial gel.",DIIDW:2021710997,
CN111320184-A,Preparing zeolite nanomolecular molecular sieve by recycling zeolite nanomolecular mother liquor by stirring zeolite nanomolecular mother liquor and dripping measured supplementary silicon source.,DIIDW:202059626B,
CN1052656-A,Mono:terpene ether synthesis in fixed-bed reactor - using natural zeolite as catalyst and continuous sepn. reactor for etherification.,DIIDW:1992115000,
FR3032130-A1; WO2016124842-A1; AU2016214208-A1; CA2974765-A1; KR2017110672-A; EP3253483-A1; IN201717029306-A; US2018008955-A1; JP2018505050-W; MX2017009826-A1; AU2016214208-B2; CN107810041-A; BR112017015583-A2; KR2008079-B1; ZA201705338-A; IN325843-B; CA2974765-C; JP2020001038-A; FR3032130-B1; US10888837-B2; JP6876609-B2; EA37828-B1; MX396189-B; CN116440858-A; SA7578-B1; SA517382024-A,"Use of at least one zeolitic adsorbent material comprising at least one type of zeolite FAU (faujasite), for the separation of gas.",DIIDW:201647929B,
WO2022015491-A1; CA3182527-A1; CN115803287-A; KR2023039716-A; EP4182078-A1; JP2023534275-W; US2023264965-A1,"Synthesizing molecular sieve of MWW framework type comprises heating synthesis mixture e.g. water, silicon source, source of trivalent element X and potassium cation source under crystallization conditions and recovering crystals.",DIIDW:202213803E,
CN105693476-A,Preparing dimethyl ether involves adding mixed catalyst into reactor at atmospheric pressure and then passing hydrogen and nitrogen mixed gas for reducing catalyst and to obtain synthesis gas.,DIIDW:201642664V,
RU2455066-C1,Fischer-tropsch synthesis catalyst comprises support made from zeolite and cobalt as catalytically active substance.,DIIDW:2012J31937,
WO9601685-A1; AU9530037-A; ZA9505723-A; EP769983-A1; US5763347-A; JP10506363-W; US5824617-A; US5849980-A; US5895769-A; MX9700131-A1; TW404849-A; MY131788-A,Membrane compsn. for sepn. of catalytic reaction of mol. species comprises a substrate and a poly:crystalline layer of zeolite crystals which is continuous with min. voids.,DIIDW:1996097481,
CN113045430-A; CN113045430-B,"Preparation of diethyltoluenediamine by loading fixed bed reactor with supported catalyst, introducing nitrogen, heating fixed bed reactor, feeding ethylene and toluene diamine, and passing ethylene and toluene diamine through catalyst.",DIIDW:202178816M,
CN8502733-A,Agent for stable sodium-Y zeolite mfr. in hot season - used in hydrothermal synthesis and yields high quality prod..,DIIDW:1987143573,
VN51541-A,"One-stage synthesis of nano zeolite X involves mixing rice husk ash and metakaolin with sodium chloride and sodium hydroxide, performing hydrothermal crystallization and obtaining nano zeolite X having preset specific surface area.",DIIDW:2017509174,
CN118652166-A,Hydroformylation of olefins comprises encapsulating rhodium and cobalt as active component in molecular sieve pores in form of single atom.,DIIDW:2024A1720Y,
CN111068612-A; CN111068612-B,"Preparing zeolite-like porous material by using solid waste for purifying flue gas discharged from ceramsite kiln, involves activating solid waste by steam and mixing uniformly, pre-treating activated slag with hydrochloric acid.",DIIDW:202038126U,
EP1002577-A1; JP2000202296-A; CN1256967-A; KR2000035163-A; US6337296-B1; IT1303713-B; EP1002577-B1; DE69905328-E; TW496774-A; CN1155441-C; JP4578599-B2; TH40926-A; TH35392-R0; KR350255-B1,"Preparation of catalysts based on MFI-type zeolites, for use in transposition reaction of oximes to amides, comprises incorporating sub-micron particles of zeolite into ligand obtained by acid hydrolysis of silicon alkoxide.",DIIDW:2000367637,
JP11060577-A,"New organic template for synthesis of zeolite consisting of substitution salt of 2,7-diazaspiro[4,4]nonanium.",DIIDW:1999226173,
JP6239612-A,"Prepn. of zeolite minerals from sludge combustion ash by mixing ash and sodium hydroxide soln., and hydrothermal synthesis.",DIIDW:1994313506,
US2012004485-A1; US8747807-B2,"New zeolite having aluminum-silicon oxide composition in the as synthesized form on anhydrous basis, useful in e.g. hydrocarbon conversion process, alkylation, transalkylation, isomerization, olefin oligomerization and dewaxing.",DIIDW:2012A36971,
CN104944436-A,"Synthesis of titanium molecular sieve involves mixing raw materials, aging and crystallizing reaction gel, filtering, washing and drying zeolite crystal powder, acid treating, filtering, washing, drying and baking zeolite powder.",DIIDW:2015675421,
CN119158617-A,"Preparing modified microporous composite zeolite catalyst useful in preparing p-diethylbenzene, comprises e.g. adding zeolite socony mobil-5 zeolite and phase transfer agent into raw material for synthesizing silicate-1, performing hydrothermal reaction, first calcination and second calcination.",DIIDW:2024D70367,
DE102021000853-A1; CN113289503-A; US2021275975-A1; JP2021133364-A; US11865499-B2,"Zeolite membrane complex to synthesize zeolite membrane by hydrothermal synthesis, comprises bracket that is an elongated member having through hole, and zeolite membrane placed on inner peripheral surface of through hole in carrier.",DIIDW:202198865F,
WO2009129610-A1; EP2268775-A1; CA2738270-A1; US2011152593-A1; IN201007440-P1; CA2738270-C; EP2268775-A4,Producing hydrocarbon fuel involves removing unwanted matter from synthesis gas stream; compressing and removing water; conditioning and removing inorganic compounds; selectively removing carbon dioxide followed by catalytic treatment.,DIIDW:2009Q47601,
DE2437914-A; NL7509265-A; JP51041699-A; FR2281315-A; US4007253-A,"Synthetic zeolite prodn. with faujasite structure by hydrothermal crystallisation in presence of zeolite A powder, for rapid synthesis.",DIIDW:197615112X,
WO2013096072-A2; US2013165314-A1; CN104379507-A; US9005573-B2; WO2013096072-A3; EP2874944-A2; JP2015515429-W; EP2874944-A4,"Making crystalline alumino-silicate zeolite for separating mixture of molecular species, involves forming zeolite reaction mixture having sources of sodium/aluminum/silicon/structure directing agent, and then heating reaction mixture.",DIIDW:2013L43930,
