Title,Source,DOI
Iron-Containing SSZ-39 (AEI) Zeolite: An Active and Stable High-Temperature NH<sub>3</sub>-SCR Catalyst,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,10.1021/ja309818u
Facile synthesis of nanosized mordenite and beta zeolites with improved catalytic performance: non-surfactant diquaternary ammonium compounds as structure-directing agents,CHEMCATCHEM,10.1002/cctc.201601627
Natural zeolite as a chromium VI removal agent in tannery effluents,INORGANIC CHEMISTRY FRONTIERS,10.1039/d2qi00696k
Carbon Nanotube Templated Preparation of Mesoporous NaA Zeolite,HELIYON,10.1016/j.heliyon.2021.e07974
A Facile Route toward the Increase of Oxygen Content in Nanosized Zeolite by Insertion of Cerium and Fluorinated Compounds,ASIAN JOURNAL OF CHEMISTRY,10.14233/ajchem.2013.13813
A Facile Route toward the Increase of Oxygen Content in Nanosized Zeolite by Insertion of Cerium and Fluorinated Compounds,MOLECULES,10.3390/molecules23020037
Selective catalytic reduction of nitric oxide with ammonia over Fe-Cu modified highly silicated zeolites,,
Comparative Study between Direct and Pseudomorphic Transformation of Rice Husk Ash into MFI-Type Zeolite,SOLID STATE SCIENCES,10.1016/j.solidstatesciences.2018.08.008
Binderless zeolite monoliths production with sacrificial biopolymers,MOLECULES,10.3390/molecules23010001
Zeolite-Loaded Titanium Dioxide Photocatalytic Cement-Based Materials for Efficient Degradation of Drinking Water Disinfection Byproduct Trichloroacetamide,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2020.128011
Effect of coexisting lithium content on fluorescent properties of silver ion-exchanged LTA zeolite,FRONTIERS IN MATERIALS,10.3389/fmats.2021.674287
Competitive Adsorption of Xylenes at Chemical Equilibrium in Zeolites,JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,10.2109/jcersj2.20084
Time-resolved in situ visualization of the structural response of zeolites during catalysis,JOURNAL OF PHYSICAL CHEMISTRY C,10.1021/acs.jpcc.0c09411
Vapour-phase-transport rearrangement technique for the synthesis of new zeolites,NATURE COMMUNICATIONS,10.1038/s41467-020-19728-3
Synthesis of Shaped ZSM-5 Zeolites by Dry-Gel Conversion with Seed Gel as Directing Agent,NATURE COMMUNICATIONS,10.1038/s41467-019-12882-3
Influence of Composition of Zeolite/Enzyme Nanobiocomposites on Analytical Characteristics of Urea Biosensor Based on Ion-Selective Field-Effect Transistors,ACTA PHYSICO-CHIMICA SINICA,10.3866/PKU.WHXB201206141
High Performance NaA Zeolite Membrane for Hydrogen Separation Synthesized on an Organic-Functionalized α-Al<sub>2</sub>O<sub>3</sub> Ceramic Hollow Fiber Surface,SENSOR LETTERS,10.1166/sl.2011.1809
Efficacy of supplemental natural zeolite in broiler chickens subjected to dietary calcium deficiency,ACTA PHYSICO-CHIMICA SINICA,10.3866/PKU.WHXB20110119
A Lamellar MWW Zeolite With Silicon and Niobium Oxide Pillars: A Catalyst for the Oxidation of Volatile Organic Compounds,ITALIAN JOURNAL OF ANIMAL SCIENCE,10.4081/ijas.2014.3141
Selective adsorption of formaldehyde and water vapors in NaY and NaX zeolites,CHEMISTRY-A EUROPEAN JOURNAL,10.1002/chem.202000862
Bimetallic Zeolite Beta Beads with Hierarchical Porosity as Bronsted-Lewis Solid Acid Catalysts for the Synthesis of Methyl Lactate,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2019.109563
Insights to Achieve a Better Control of Silicon-Aluminum Ratio and ZSM-5 Zeolite Crystal Morphology through the Assistance of Biomass,CATALYSTS,10.3390/catal11111346
Evaluation of natural zeolite as microorganism support medium in nitrifying batch reactors: Influence of zeolite particle size,CATALYSTS,10.3390/catal6020030
Superacidity and spectral signatures of hydroxyl groups in zeolites,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,10.1080/10934529.2012.646129
Porosity and accessibility of acid sites in desilicated ZSM-5 zeolites studied using adsorption of probe molecules,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2022.112144
Synthesis of HKUST-1 and zeolite beta composites for deep desulfurization of model gasoline,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2013.08.051
Zeolite Rho: a highly selective adsorbent for CO<sub>2</sub>/CH<sub>4</sub> separation induced by a structural phase modification,RSC ADVANCES,10.1039/c8ra01490f
Nanosized MCM-22 zeolite using simple non-surfactant organic growth modifiers: synthesis and catalytic applications,CHEMICAL COMMUNICATIONS,10.1039/c1cc16320e
High activity of mononuclear copper present in the framework of CuSiBEA zeolites in the selective catalytic reduction of NO with NH<sub>3</sub>,CHEMICAL COMMUNICATIONS,10.1039/c8cc05356a
The Role of Ozone in the Reaction Mechanism of a Bare Zeolite-Plasma Hybrid System,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2015.11.065
Complex H-bonded silanol network in zeolites revealed by IR and NMR spectroscopy combined with DFT calculations,CATALYSTS,10.3390/catal5020838
How Water and Ion Mobility Affect the NMR Fingerprints of the Hydrated JBW Zeolite: A Combined Computational-Experimental Investigation,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d1ta06908j
Selective Adsorption of CO<sub>2</sub> on Zeolites NaK-ZK-4 with Si/AI of 1.8-2.8,CHEMISTRY-A EUROPEAN JOURNAL,10.1002/chem.202202621
Preparation of Continuous Highly Hydrophobic Pure Silica ITQ-29 Zeolite Layers on Alumina Supports,ACS OMEGA,10.1021/acsomega.0c03749
Selective ring opening of decalin over bifunctional RuS<sub>2</sub>/zeolite catalysts,MOLECULES,10.3390/molecules25184150
Zeolites with isolated-framework and oligomeric-extraframework hafnium species characterized with pair distribution function analysis,CATALYSIS TODAY,10.1016/j.cattod.2018.07.052
NaA zeolite membranes on modified porous stainless steel supports: a comparative study of different SiO<sub>2</sub>sources,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,10.1039/c8cp00464a
Synthesis of novel ZSM-22 zeolite from Taiwanese coal fly ash for the selective separation of Rhodamine 6G,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,10.1007/s43153-020-00024-y
Performance characterizations and thermodynamic analysis of magnesium sulfate-impregnated zeolite 13X and activated alumina composite sorbents for thermal energy storage,JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY-JMR&T,10.1016/j.jmrt.2020.10.070
Removal of Na<SUP>+</SUP> from Ionic Liquids by Zeolite for High Quality Electrolyte Manufacture,ENERGY,10.1016/j.energy.2018.10.200
The effect of feed supplementation with Zakarpacki zeolite (clinoptilolite) on percentages of T and B lymphocytes and cytokine concentrations in poultry,BULLETIN OF THE KOREAN CHEMICAL SOCIETY,10.5012/bkcs.2013.34.6.1693
Desilication of highly siliceous zeolite ZSM-5 with NaOH and NaOH/tetrabutylamine hydroxide,POULTRY SCIENCE,10.3382/ps/pex030
Adsorption Mechanism of High-Concentration Ammonium by Chinese Natural Zeolite with Experimental Optimization and Theoretical Computation,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2012.09.033
Beyond Acid Strength in Zeolites: Soft Framework Counteranions for Stabilization of Carbocations on Zeolites and Its Implication in Organic Synthesis,WATER,10.3390/w14152413
Microwave Synthesis of Ag-CdWO<sub>4</sub>/Zeolite Composites Assisted by A Solid-State Metathetic Route,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.201500864
Zeolite Y modified with palladium as effective catalyst for selective catalytic oxidation of ammonia to nitrogen,ASIAN JOURNAL OF CHEMISTRY,10.14233/ajchem.2013.12636A
High-Temperature Synthesis of Zeolite Y,JOURNAL OF CATALYSIS,10.1016/j.jcat.2014.04.022
The conversion technology of fly ash into zeolites,ACTA PHYSICO-CHIMICA SINICA,10.3866/PKU.WHXB20110417
CoFe<sub>2</sub>O<sub>4</sub> Nanocrystals Mediated Crystallization Strategy for Magnetic Functioned ZSM-5 Catalysts,CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,10.1007/s10098-014-0719-6
"Influence of iron state and acidity of zeolites on the catalytic activity of FeHBEA, FeHZSM-5 and FeHMOR in SCR of NO with NH<sub>3</sub> and N<sub>2</sub>O decomposition",ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201802088
Direct synthesis of the aluminosilicate form of the small pore CDO zeolite with novel OSDAs and the expanded polymorphs,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2014.10.023
REMOVAL OF AMMONIUM IONS FROM DIGESTED SLUDGE FUGATE BY USING NATURAL ZEOLITE,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2017.03.014
Comparative Study of Nano-ZSM-5 Catalysts Synthesized in OH<SUP>-</SUP> and F<SUP>-</SUP> Media,JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT,10.3846/16486897.2016.1172075
Carbon Dioxide Reforming of Methane over Nickel-Supported Zeolites: A Screening Study,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201301541
The Stability of Copper Oxo Species in Zeolite Frameworks,PROCESSES,10.3390/pr10071331
Effects of Zeolite and Biochar Addition on Ammonia-Oxidizing Bacteria and Ammonia-Oxidizing Archaea Communities during Agricultural Waste Composting,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,10.1002/ejic.201501270
Methanation of Carbon Dioxide over Zeolite-Encapsulated Nickel Nanoparticles,SUSTAINABILITY,10.3390/su12166336
Passivated Surface of High Aluminum Containing ZSM-5bySilicalite-1: Synthesis and Application in Dehydration Reaction,CHEMCATCHEM,10.1002/cctc.201701946
NMR Signatures of the Active Sites in Sn-β Zeolite,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,10.1021/acssuschemeng.1c07198
Origin of Morphology Change and Effect of Crystallization Time and Si/Al Ratio during Synthesis of Zeolite ZSM-5,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.201403905
"Zeolite confined rhodium(0) nanoclusters as highly active, reusable, and long-lived catalyst in the methanolysis of ammonia-borane",CHEMCATCHEM,10.1002/cctc.202101248
"Preparation of La(III), Fe(III) Modified Zeolite Molecular Sieves for the Removal of Fluorine from Water",APPLIED CATALYSIS B-ENVIRONMENTAL,10.1016/j.apcatb.2009.10.013
Hierarchically porous FER zeolite obtained via FAU transformation for fatty acid isomerization,WATER,10.3390/w14192946
Synthesis of hierarchical 5A zeolites to improve the separation efficiency of n-paraffins,APPLIED CATALYSIS B-ENVIRONMENTAL,10.1016/j.apcatb.2019.118356
Study of the Alkylation of Phenol with Methanol on Zn(H)-Exchanged NaY Zeolites,ADSORPTION SCIENCE & TECHNOLOGY,10.1177/0263617419850226
"Continuously Adjustable, Molecular-Sieving ""Gate"" on 5A Zeolite for Distinguishing Small Organic Molecules by Size",CATALYSIS LETTERS,10.1007/s10562-011-0640-0
Metal-doped Zeolites as Green Catalysts for Organic Synthesis,SCIENTIFIC REPORTS,10.1038/srep13981
Graph similarity drives zeolite diffusionless transformations and intergrowth,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,10.1515/znb-2010-0703
Mechanically Coherent Zeolite 13X/Chitosan Aerogel Beads for Effective CO<sub>2</sub> Capture,NATURE MATERIALS,10.1038/s41563-019-0486-1
Direct synthesis of hierarchical ZSM-5 zeolite using cetyltrimethylammonium as structure directing agent for methanol-to-hydrocarbons conversion,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.1c04064
Enhancement of biocorrosion resistance of epoxy coating by addition of Ag/Zn exchanged a zeolite,CATALYSIS SCIENCE & TECHNOLOGY,10.1039/c7cy01603d
Study of propane oxidation on Cu-zeolite catalysts by <i>in</i>-<i>situ</i> EPR and IR spectroscopies,SURFACE & COATINGS TECHNOLOGY,10.1016/j.surfcoat.2015.02.044
Synthesis of CuO nanostructures on zeolite-Y and investigation of their CO<sub>2</sub> adsorption properties,CATALYSIS TODAY,10.1016/j.cattod.2013.10.055
Comparison of Synthetic and Natural Zeolite Catalysts' Behavior in the Production of Lactic Acid and Ethyl Lactate from Biomass-Derived Dihydroxyacetone,JOURNAL OF MATERIALS RESEARCH,10.1557/jmr.2017.337
On the Anti-Corrosion Property of Dry-Gel-Conversion-Grown MFI Zeolite Coating on Aluminum Alloy,CATALYSTS,10.3390/catal11081006
Microchannel zeolite 13X adsorbent with high CO<sub>2</sub> separation performance,MATERIALS,10.3390/ma13204595
Integrated Transmission Electron and Single-Molecule Fluorescence Microscopy Correlates Reactivity with Ultrastructure in a Single Catalyst Particle,SEPARATION AND PURIFICATION TECHNOLOGY,10.1016/j.seppur.2021.119483
Comparative Study of Zn Loading on Advanced Functional Zeolite NaY from Bagasse Ash and Rice Husk Ash for Sustainable CO<sub>2</sub> Adsorption with ANOVA and Factorial Design,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.201709723
Probing the Influence of SSZ-13 Zeolite Pore Hierarchy in Methanol-to-Olefins Catalysis by Using Nanometer Accuracy by Stochastic Chemical Reactions Fluorescence Microscopy and Positron Emission Profiling,ATMOSPHERE,10.3390/atmos13020314
Regioselective generation and reactivity control of subnanometric platinum clusters in zeolites for high-temperature catalysis,CHEMCATCHEM,10.1002/cctc.201700567
High-strength concrete mixture with calcined zeolite particles for shrinkage reduction,NATURE MATERIALS,10.1038/s41563-019-0412-6
Zeolite structure determination using genetic algorithms and geometry optimisation,MAGAZINE OF CONCRETE RESEARCH,10.1680/jmacr.17.00181
Curcumin-loaded zeolite as anticancer drug carrier: effect of curcumin adsorption on zeolite structure,FARADAY DISCUSSIONS,10.1039/c8fd00035b
Influence of the Natural Zeolite Particle Size Toward the Ammonia Adsorption Activity in Ceramic Hollow Fiber Membrane,PURE AND APPLIED CHEMISTRY,10.1515/pac-2018-1213
"Gas Adsorption in Zeolite and Thin Zeolite Layers: Molecular Simulation, Experiment, and Adsorption Potential Theory",MEMBRANES,10.3390/membranes10040063
"Reduction of oil, COD and turbidity of Kermanshah oil refinery effluent using modified nano-zeolite by bismuth and iron",LANGMUIR,10.1021/acs.langmuir.1c03420
Desilication of TS-1 zeolite for the oxidation of bulky molecules,DESALINATION AND WATER TREATMENT,10.5004/dwt.2017.21607
Theoretical study on <SUP>31</SUP>P NMR chemical shifts of phosphorus-modified CHA zeolites,CATALYSIS COMMUNICATIONS,10.1016/j.catcom.2013.08.004
ITQ-54: a multi-dimensional extra-large pore zeolite with 20 x 14 x 12-ring channels,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2019.109908
Controlled direct synthesis of single- to multiple-layer MWW zeolite,CHEMICAL SCIENCE,10.1039/c4sc02577f
A new method: the usage of natural zeolite as a killer chemical for hydrogen peroxide during the hydrogen peroxide bleaching,NATIONAL SCIENCE REVIEW,10.1093/nsr/nwaa236
Technoeconomic Investigation of Amine-Grafted Zeolites and Their Kinetics for CO<sub>2</sub> Capture,INDUSTRIA TEXTILA,10.35530/IT.070.06.1523
Zeolites and Related Materials as Catalyst Supports for Hydrocarbon Oxidation Reactions,ACS OMEGA,10.1021/acsomega.0c05397
Accurate large-scale simulations of siliceous zeolites by neural network potentials,CATALYSTS,10.3390/catal12020154
Slowing down the deactivation of H-ZSM-5 zeolite catalyst in the methanol-to -olefin (MTO) reaction by P or Zn modifications,NPJ COMPUTATIONAL MATERIALS,10.1038/s41524-022-00865-w
Enhancing oxidation resistance of Cu(I) by tailoring microenvironment in zeolites for efficient adsorptive desulfurization,CATALYSIS TODAY,10.1016/j.cattod.2019.07.059
Synthesis of zeolites from fly ash with the use of modified two-step hydrothermal method and preliminary SO<sub>2</sub> sorption tests,NATURE COMMUNICATIONS,10.1038/s41467-020-17042-6
Incorporation of <i>Lactobacillus plantarum</i> and zeolites in poultry feed can reduce aflatoxin B1 levels,ADSORPTION SCIENCE & TECHNOLOGY,10.1177/0263617418810607
Chromium (VI) Ion Adsorption Features of Chitosan Film and Its Chitosan/Zeolite Conjugate 13X Film,JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,10.1007/s13197-017-2923-y
Catalytic Ozonation of Toluene Using Chilean Natural Zeolite: The Key Role of Bronsted and Lewis Acid Sites,MOLECULES,10.3390/molecules16053569
The Effects of NaOH Concentration on the Hydrothermal Synthesis of a Hydroxyapatite-Zeolite Composite Using Blast Furnace Slag,CATALYSTS,10.3390/catal8050211
Evaluation of high-performance adsorbents for separation of CO<sub>2</sub> from industrial effluent gases,MINERALS,10.3390/min11010021
Effect of Ethanol on the Morphology and Textual Properties of ZSM-5 Zeolite,GREENHOUSE GASES-SCIENCE AND TECHNOLOGY,10.1002/ghg.2197
Fixation of Titanium Dioxide Nanoparticles on Glass Fiber Cloths for Photocatalytic Degradation of Organic Dyes,CATALYSTS,10.3390/catal10020198
An Improved Method for Site-Specific End Modification of Zeolite L for the Formation of Zeolite L and Gold Nanoparticle Self-Assembled Structures,ACS OMEGA,10.1021/acsomega.9b02067
Synthesis of Discrete CHA Zeolite Nanocrystals without Organic Templates for Selective CO<sub>2</sub>Capture,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,10.1002/ppsc.201200077
Simple organic structure directing agents for synthesizing nanocrystalline zeolites,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202009397
Synthesis of Combined Micro-Mesoporous Zeolites and Their Application to Automobile Cold Start Emission Control,CHEMICAL SCIENCE,10.1039/c7sc02858j
Comparative study of binderless zeolites and carbon molecular sieves as adsorbents for CO<sub>2</sub> capture processes,ACTA PHYSICO-CHIMICA SINICA,10.3866/PKU.WHXB201203142
Polynomial models controlling strength of zeolite-cement-sand mixtures,JOURNAL OF CO2 UTILIZATION,10.1016/j.jcou.2022.102012
Acid-modified phonolite and foamed zeolite as supports for NiW catalysts for deoxygenation of waste rendering fat,SCIENTIA IRANICA,10.24200/sci.2017.2415
Optimization of ammonia removal by natural zeolite from aqueous solution using response surface methodology,REACTION KINETICS MECHANISMS AND CATALYSIS,10.1007/s11144-018-1510-1
Brazilian sedimentary zeolite use in agriculture,HEMIJSKA INDUSTRIJA,10.2298/HEMIND141007006M
Catalytic Dehydrogenation of Ethane over Mn Oxide Supported on Zeolite Chabazite,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2012.06.051
Nature of the Surface Intermediates Formed from Methane on Cu-ZSM-5 Zeolite: A Combined Solid-State Nuclear Magnetic Resonance and Density Functional Theory Study,CHEMCATCHEM,10.1002/cctc.202200907
Rapid Aging of Binder-Free Zeolite NaY Beads in Thermal Energy Storage Applications,JOURNAL OF PHYSICAL CHEMISTRY C,10.1021/acs.jpcc.0c00311
Methylene blue removal from contaminated waters using heterogeneous catalytic ozonation promoted by natural zeolite: mechanism and kinetic approach,CHEMICAL ENGINEERING & TECHNOLOGY,10.1002/ceat.202200141
"A Comparison of Adsorption Equilibrium, Kinetics and Thermodynamics of Aqueous Phase Clomazone between Faujasite X and a Natural Zeolite from Kenya",ENVIRONMENTAL TECHNOLOGY,10.1080/09593330.2011.650222
A one-step rapid synthesis of TS-1 zeolites with highly catalytically active mononuclear TiO<sub>6</sub> species,SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,
Studies on zeolite SSZ-57: A structural enigma,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c9ta13851j
Prominent role of mesopore surface area and external acid sites for the synthesis of polyoxymethylene dimethyl ethers (OME) on a hierarchical H-ZSM-5 zeolite,SOLID STATE SCIENCES,10.1016/j.solidstatesciences.2010.08.004
Zeolite Nanocrystals Protect the Performance of Organic Additives and Adsorb Acid Compounds during Lubricants Oxidation,CATALYSIS SCIENCE & TECHNOLOGY,10.1039/c8cy02194e
NO-CH<sub>4</sub>-SCR Over Core-Shell MnH-Zeolite Composites,MATERIALS,10.3390/ma12172830
Effect of Dry Grinding of Pyrophyllite on the Hydrothermal Synthesis of Zeolite Na-X and Na-A,APPLIED SCIENCES-BASEL,10.3390/app9091773
Direct Conversion of Syngas to Ethanol within Zeolite Crystals,MATERIALS TRANSACTIONS,10.2320/matertrans.M2014127
Effects of the Framework and Mesoporosity on the Catalytic Activity of Hierarchical Zeolite Catalysts in Benzyl Alcohol Conversion,CHEM,10.1016/j.chempr.2019.12.007
"Removal of 2,4-dichlorophenoxyacetic acid from water by modified zeolite adsorbents",CHEMCATCHEM,10.1002/cctc.201600322
One-step hydrothermal synthesis of zeolite KA from kaolin,SCIENCEASIA,10.2306/scienceasia1513-1874.2021.077
Selective active site placement in Lewis acid zeolites and implications for catalysis of oxygenated compounds,MICRO & NANO LETTERS,10.1049/mnl.2019.0190
Separation of an aqueous mixture of 6-kestose/sucrose with zeolites: A molecular dynamics simulation,CHEMICAL SCIENCE,10.1039/d0sc03809a
Effect of Steaming on Waste-Derived Zeolite ZSM-5 as Methanol-To-Hydrocarbons Catalyst,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2021.111031
Synthesis of Biogasoline from Used Palm Cooking Oil Through Catalytic Hydrocracking by Using Cr-Activated Natural Zeolite as Catalyst,CHEMCATCHEM,10.1002/cctc.202201021
Unusual water-assisted NO adsorption over Pd/FER calcined at high temperatures: The effect of cation migration,ASIAN JOURNAL OF CHEMISTRY,10.14233/ajchem.2014.16299
Flexibility mechanisms in ideal zeolite frameworks,APPLIED CATALYSIS B-ENVIRONMENT AND ENERGY,10.1016/j.apcatb.2022.121810
Acidic and Catalytic Properties of Zeolites Modified by Zinc in the Conversion Process of Lower C<sub>3</sub>-C<sub>4</sub> Alkanes,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,10.1098/rsta.2012.0036
"Comparison of Physicochemical Properties of Fly Ash Precursor, Na-P1(C) Zeolite-Carbon Composite and Na-P1 Zeolite-Adsorption Affinity to Divalent Pb and Zn Cations",CATALYSTS,10.3390/catal9050421
Effect of Zeolite on the Methane Production from Chicken Manure Leachate,MATERIALS,10.3390/ma14113018
QUALITY OF ZEOLIT FROM VRANJSKA BANJA DEPOSIT ACCORDING TO SIZE CLASSES,SUSTAINABILITY,10.3390/su14042207
High NH<sub>3</sub>-SCR reaction rate with low dependence on O<sub>2</sub> partial pressure over Al-rich Cu-*BEA zeolite,HEMIJSKA INDUSTRIJA,10.2298/HEMIND120724107S
Conversion of methanol to hydrocarbons over zeolite ZSM-23 (MTT): exceptional effects of particle size on catalyst lifetime,RSC ADVANCES,10.1039/d1ra00943e
Florol synthesis via Prins cyclization over hierarchical beta zeolites,CHEMICAL COMMUNICATIONS,10.1039/c6cc10118f
Tailor made Functional Zeolite as Sustainable Potential Candidates for Catalytic Cracking of Heavy Hydrocarbons,MOLECULAR CATALYSIS,10.1016/j.mcat.2022.112683
"Local Structure of Cationic Sites in Dehydrated Zeolites Inferred from <SUP>27</SUP>Al Magic-Angle Spinning NMR and Density Functional Theory Calculations. A Study on Li-, Na-, and K-Chabazite",CATALYSIS LETTERS,10.1007/s10562-021-03657-x
Towards a comprehensive understanding of mesoporosity in zeolite Y at the single particle level,JOURNAL OF PHYSICAL CHEMISTRY C,10.1021/acs.jpcc.6b04391
Design of Zeolites with Specific Architectures Using Self-Assembled Aromatic Organic Structure Directing Agents,INORGANIC CHEMISTRY FRONTIERS,10.1039/d2qi00313a
Evaluation of the removal of<i>n</i>-butanol vapor by the poly(lactic acid)-zeolite-TiO<sub>2</sub>composite and formation of by-products,TOPICS IN CATALYSIS,10.1007/s11244-015-0390-0
Role of Modification of Natural Zeolite in Removal of Arsenic from Aqueous Solutions,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.49842
"Effects of zeolite and water stress on growth, yield and chemical compositions of <i>Aloe vera</i> L.",ACTA CHIMICA SLOVENICA,10.17344/acsi.2018.4218
Organic template-free synthesis of zeolite Y nanoparticle assemblies and their application in the catalysis of the Ritter reaction,AGRICULTURAL WATER MANAGEMENT,10.1016/j.agwat.2016.11.026
Structure-direction towards the new large pore zeolite NUD-3,RSC ADVANCES,10.1039/c6ra27129d
Hierarchical Zeolites as Catalysts for Biodiesel Production from Waste Frying Oils to Overcome Mass Transfer Limitations,CHEMICAL COMMUNICATIONS,10.1039/d0cc07333d
Observation of an oxonium ion intermediate in ethanol dehydration to ethene on zeolite,MOLECULES,10.3390/molecules26164879
Methane hydrates: Nucleation in microporous materials,NATURE COMMUNICATIONS,10.1038/s41467-019-09956-7
Start-up and performance of UASB reactors using zeolite for improvement of nitrate removal process,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2018.11.216
Halloysite nanotube-based electrospun ceramic nanofibre mat: a novel support for zeolite membranes,ECOLOGICAL ENGINEERING,10.1016/j.ecoleng.2014.06.007
Anchoring Effect of Organosilanes on Hierarchical ZSM-5 Zeolite for Catalytic Fast Pyrolysis of Cellulose to Aromatics,ROYAL SOCIETY OPEN SCIENCE,10.1098/rsos.160552
Influence of nickel precursors on the properties and performance of Ni impregnated zeolite 5A and 13X catalysts in CO<sub>2</sub> methanation,ACS OMEGA,10.1021/acsomega.2c00983
Hydration mechanism in Ce-exchanged zeolites and heat release performances upon adsorption of water vapour in support of their potential use in thermochemical storage of energy under mild conditions of adsorbent regeneration and saturation,CATALYSIS TODAY,10.1016/j.cattod.2020.05.025
Thermodilatometric Study of the Decay of Zeolite-Bearing Building Materials,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2020.109999
Enhanced Performance of Carbon Molecular Sieve Membranes Incorporating Zeolite Nanocrystals for Air Separation,MATERIALS,10.3390/ma14133551
"DeNO<i><sub>x</sub></i> Abatement over Sonically Prepared Iron-Substituted Y, USY and MFI Zeolite Catalysts in Lean Exhaust Gas Conditions",MEMBRANES,10.3390/membranes11070489
Photodegradation of Indigo Dye Using TiO<sub>2</sub> and TiO<sub>2</sub>/Zeolite System,NANOMATERIALS,10.3390/nano8010021
Adsorption of glucose into zeolite beta from aqueous solution,ASIAN JOURNAL OF CHEMISTRY,10.14233/ajchem.2013.14768
Synthesis of zeolitic material from basalt rock and its adsorption properties for carbon dioxide,AICHE JOURNAL,10.1002/aic.14104
Reorientational Dynamics of Water Confined in Zeolites,RSC ADVANCES,10.1039/c8ra00788h
<i>In situ</i> upgrading of whole biomass to biofuel precursors with low average molecular weight and acidity by the use of zeolite mixture,CHEMPHYSCHEM,10.1002/cphc.201300928
Methane production from secondary paper and pulp sludge: Effect of natural zeolite and modeling,RSC ADVANCES,10.1039/c5ra13210j
From amorphous to crystalline: Transformation of silica membranes into silicalite-1 (MFI) zeolite layers,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2014.07.058
Targeted Synthesis of Two Super-Complex Zeolites with Embedded Isoreticular Structures,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2018.09.020
Application Characteristics of Zeolite-Based Stuffing for Nanofluidic Packer Rubber,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.201510726
Nature of Enhanced Bronsted Acidity Induced by Extraframework Aluminum in an Ultrastabilized Faujasite Zeolite: An <i>In Situ</i> NMR Study,ENERGIES,10.3390/en15217962
DSC and DVS Investigation of Water Mobility in Nafion/Zeolite Composite Membranes for Fuel Cell Applications,JOURNAL OF PHYSICAL CHEMISTRY C,10.1021/acs.jpcc.1c00356
ADSORPTION OF REACTIVE ORANGE 16 FROM AQUEOUS SOLUTIONS BY SYNTHESIZED ZEOLITE,JOURNAL OF PHYSICAL CHEMISTRY C,10.1021/jp301762h
Removal of Toluene over NaX Zeolite Exchanged with Cu<SUP>2+</SUP>,QUIMICA NOVA,10.1590/S0100-40422010000200023
